Title,Authors
찐한 고백휴재,"JIP,의령,로즈빈"
집착광공 집사전락,마자
아일랜드 2부,"윤인완,양경일"
절벽귀,오성대
흑막 여주가 날 새엄마로 만들려고 해,"이산시,하리힌,목감기"
내게 필요한 NO맨스,마그네슘
왕세자 입학도휴재,무번
길고양이 행진,몹시찰진우럭
악녀는 조용히 살고 싶을 뿐인데!휴재,"호나란,그레이캣,이하린"
내 여자친구는 상남자,맛스타
낢 부럽지 않은 신혼여행기,서나래
엘프,홍작가
완벽한 허니문,"화류동풍,옛사람"
조조코믹스휴재,이동건
노인의 꿈,백원달
천년구미호,기량
철벽! 연애 시뮬레이션,혜니
내 연애 너 있다,키크니
미스터리 호러 지하철,단우
외향남녀,나
당신의 그림자를 그만두었을 때,"봉이,유성,Rana"
뽀샵일기,자까
소공녀 민트,"봉이,갈피,오윤"
천사가 아니야,"박유나,표류"
옆집남자 친구,꿀삼
우리는 후라이족휴재,켄타
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
선생님이 간다!,김양수
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
패밀리 사이즈,"남지은,김인호"
당신의 과녁,고태호
불편한 편의점,"ANGELA,p.P,김호연"
로맨스가 가능해?,"임주이,송정원"
아일랜드 1부,"윤인완,양경일"
"곱게 키웠더니, 짐승","티바,여슬기,이른꽃"
미래소녀,황준호
멜빈이 그들에게 남긴 것,"삼칠13,팀 해피게리,류희온"
내가 죽기로 결심한 것은,YUJU
미라클! 용사님,정하
꿈의 기업,문지현
피아노,"재아,김재한"
안 돼요 마왕님!,마로
나처럼 던져봐,장이
나의 작은 서점,한민기
매지컬 고삼즈,"seri,비완"
반귀,세정
먹는 인생,홍끼
오늘의 노담망(望)화,손하기
닥터앤닥터 육아일기,닥터베르
웅크,나유진
금붕어,"명랑,애풍"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
하렘에서 살아남기,전분
꽃만 키우는데 너무 강함,"주현후,쿰타타"
드로잉 레시피,꼬모소이
새벽 두 시의 신데렐라,"산차,아이고메"
루루라라 우리네 인생,현이씨
쿠키히어로,순끼
꿀벌과 아카시아,다봄
운빨로맨스,김달님
악마라고 불러다오,"자양,써나,안테"
몸이 바뀌는 사정,"푸릭,달꽃,윤달(YounDal)"
복학생 정순이,한짜장
연민의 굴레 + 쉬는 시간,재활용
달려라!메리,마인드C
애옹식당,정다정
비서 일탈,"솔방울,꿀봉이,반지영"
네이처맨,이윤창
늘 푸른 찻집,"고병준,제뉴"
합법해적 파르페휴재,뼈피살
문유,조석
하우스키퍼,"채용택,유현"
잔불의 기사휴재,환댕
악녀 18세 공략기,홍혜
모죠의 데뷔 일Z,모죠
행성인간,조석
우리가족 응급주치의,"신태훈,나승훈"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
플로우,허니비
두근거려요,뚱땡이냐옹이
희란국연가,"MIDNIGHT STUDIO,김수지"
유미의 세포들 외전 : 프로 직장인,이동건
안전한 하루 되세요!,쌔우
맘마미안,"미티,구구"
이제야 연애,"딘돈,서혜은"
"주님, 악마가 되게 해주세요!","불사,용가리"
열불 로맨스,홍치
잭슨의 관,CTK
바스티안휴재,"아빈,솔체"
당신만 몰라!,유리아
미친 후작을 길들이고 말았다,"골지,이레,로판맛집"
시벨롬 리스트,LICO
어서와,고아라
영수의 봄,이윤희
고고루키루,한경찰
"아이소포스 1, 2부","김양수,도가도"
2024,"JQ,서재일"
영감,없는사람
"이기자, 그린",김8
재앙은 미묘하게,안성호
짝사랑의 마침표,숭어
경기딸,이윤창
순정말고 순종,슈안
갓도령스,도로롱
오늘도 기록생활,"홍끼,모죠"
소심한 팔레트,한민기
"북부 대공 부인, 추워서 못 하겠습니다","레몬수박,이건,연초"
여주실격!,기맹기
마법사가 죽음을 맞이하는 방법휴재,"박젶,주은설"
식스틴,김인태
홍천기,"LICO,정은궐"
킬링 허니,세오네
루커피쳐,효정
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
피부과 만렙남,LICO
피폐물 남주에게 꽃길을,"지구본사탕,피디님라부"
여우놀이휴재,황혜진
황제사냥,KAN
물고기가 보이는 남자,차세기
소녀180,"나우원,델라"
육아일기휴재,자까
오후가 멈추도록휴재,이이영
[영화원작] 모럴센스,겨울
모두 너였다,"이순기,오정호,이재익"
금혼령-조선혼인금지령,"산책,천지혜"
"오늘, 걸을까?",소영
남산선녀전,돌배
이것도 친구라고,제야
불편한 관계,다봄
노네임드(NoNameD),문지현
지옥연애환담,"당첨,녹혜,황도톨"
디펜스 게임의 폭군이 되었다휴재,"하정,굥,류은가람"
송곳 1~3부,최규석
백설을 위하여,"김햐,찬겨울"
내일을 부탁해,"이혜,자까"
로맨스 당도 백퍼센트,이동건
알게뭐야,김재한
생존고백,박태현
MY OH,박카린
독신마법사 기숙아파트,"Studio 우리들,재윤,기르답"
잡지마 위기종,"신태훈,나승훈"
어서오세요.305호에,와난
빛빛빛,수진
Penguin loves Mev,펭귄
민간인 통제구역,OSIK
미호이야기,혜진양
천 살 연하 황제가 집착한다휴재,"이윤희,카라"
루크 비셸 따라잡기,"앙꼬빵,학뚜벅,에슈티"
미혼남녀의 효율적 만남,타리
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
선천적 얼간이들,가스파드
망치하르방,상상어
물어보는 사이,성은
망겜의 현금술사휴재,무릇
풋내기들,신여름
얼룩말,자유
피와 나비,레민
최후의 금빛아이,"알깨,새몽"
차린 건 없지만,심모람
"대만에서, 너와 하루",수박양
소울카르텔,"하람,지야"
짝사랑 마들렌,미이
마이너스의 손,김뎐
강아지는 멍멍하고 짖지 않아!,얄라리
인과관계,강환영
빨간맛 로맨스,"사지현,서루"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
좀간,"옹구,다이"
천리마 네버다이,김규삼
신을 죽이는 방법,"나락,바밤"
오늘 밤은 어둠이 무서워요,김진
한줌물망초,혜진양
입술이 예쁜 남자,"고도,플라비"
내 ID는 강남미인! - 둘만의 시간,기맹기
어느 백작 영애의 이중생활,"Jeu,킴뽀,최아리"
재영과 재영 사이,심싹
럭키언럭키,가천가
숲속에서 공작이 주운 것은,"이재원,젭,MON쉘"
오버더문,"포르토,이승준"
FM보이,이일공
아르마,병장
정신병동에도 아침이 와요,이라하
청년창업 기프트카툰,"조석,자까"
버닝이펙트,박태현
밤을 깨우는 마법,외딴
섀도우,"유느지,해진"
자기 취향 존중,"모히또모히칸,설주"
질풍기획 시즌1,이현민
방울토마토,조양
손 잡은 사이,반하리
아이들은 즐겁다,허5파6
테러맨,"한동우,고진호"
별의 유언,후은
난약,"정현주,박진환"
마녀와 용의 신혼일기,"뉴릉이,디망,바리달"
누군가의 로섬,방농구
밤하늘에 구름운,"견지,그리온"
스크립토리움,Song
극야,"운,한큰빛"
달콤한 인생,이동건
견우와 직녀,유리아
야자괴담,이도광
언더클래스 히어로,김우준
우리는 여기!,달꼬냑
바람이 머무는 난,신월
밀행,"H.C,봉선,아슬로"
성스러운 아이돌,"스튜디오M,악사,신화진"
레사 시즌1,POGO
반드시 해피엔딩,"불사,재림,플아다"
레이드,"신의철,김정현"
로어 올림푸스,레이첼스마이스
"소녀의 디딤돌 : 희망, 함께 날다",모랑지
나의 인생샷을 찾아서,이동건
후기,조석
흔한햄,잇선
저세상 클라스!,꾀돌이
한 살이라도 어릴 때,"김진,서나래,필냉이"
둥굴레차!휴재,기라3
마성의 공작님은 잠 못 이루고,"소화기,고요곰,레몬개구리"
남사친의 법칙,이도윤
새와 같이,후은
아사휴재,우새새
킬러분식,한(恨)
키스우드,안성호
백호랑,박혬
한강예찬,김8
좀비 파이트,이저녁
스윗 싱가포르,"김진,한경찰"
혁명 뒤 공주는,으앵
참새는 새!신부,"99C,백도"
너를 돌려차는 방법,한성만
하루만 네가 되고 싶어휴재,삼
마야고,"후렛샤,김홍태"
메소드 연기법,김이연
펫다이어리,"요한,제나"
아이들의 권 선생님,호우
하이브 1~2,김규삼
신군,규남
열아홉스물하나,"요한,제나"
방과후 선녀,후
아랫집 시누이,김진
임술년 화요일,엥비
위대한 방옥숙,"매미,희세"
사랑의 새싹약국,"정해솔,이유진"
샤인 스타,김현
신입일기,자까
널 사랑하는 죽은 형,상금
대위님! 이번 전쟁터는 이곳인가요?,"보살,비터버,리묘"
"울어주세요, 황태자님",Duck담
경비 배두만휴재,이영곤
연애의 정령,김호드
온실 속 화초,옛사람
빙탕후루,"장희,주호민"
썸내일,봉수
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
여탕보고서,마일로
데모니악,"후렛샤,김홍태"
땅 보고 걷는 아이,다온
피말리는 과대생활,님니
사랑의 외계인,김이랑
소녀 연대기,지님
천신의 요람,"임솔이,항낭"
헬퍼,삭
제페토,연제원
은주의 방,노란구미
나타나주세요!,김기현
별빛 커튼콜,아르몽
문아,팬마
사랑의 헌옷수거함,고잉
카오스어택,맛스타
더 베이비시터휴재,김도연
안나라수마나라,하일권
네버엔딩달링,울리
내가 사랑한 물고기,"우주봄봄,부발"
인챈트-나람이야기,자유
딥(DEEP),"토우,김태헌"
꼬리잡기,바쉬
화가 살리에르,백원달
행성인간2: 행성의,조석
가령의 정체불명 이야기,가령
배달의 신,"명랑,신얼"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
늙은 아버지의 나날,홍연식
오일머니,"정하용,펜촉"
아이소포스 3부,"김양수,도가도"
언더프린,브림스
반투명인간,"마인드C,김명현"
일진에게 회초리,유승연
뱀파이어,오세형
이별 후 사내 결혼,"미믹,이달리."
로맨틱 태평수산,이일공
노력의 결과,악파
워킹히어로,"이상신,국중록"
내 남편과 결혼해줘,"LICO,성소작"
태시트,김다찌
생활의참견,김양수
국립자유경제 고등학교 세실고,"양혜석,타파리"
흔들리는 세계로부터,양담
닥터 프로스트 시즌 1~2,이종범
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
커플브레이커,"기맹기,태건"
오성X한음,유승진
오!너의 리스크,바리
꽃 피는 날,두루
엑스트라 데이즈,아니영
모스크바의 여명,"이샨오,황장미"
네로의 실험실,"외눈박이,시현"
특근,허일
화이트멜로우,임진국
시체기사 군터,마요너구리
평행도시,고다
하나의 하루,석우
용두사망 소설 속의 악녀가 되었다,"하견,너구리,윤림"
영광의 교실,아니영
아무것도 하고 싶지 않아,주영현
에리타,d몬
퇴근 후에 만나요휴재,"멍뭉,햄친,로즈빈"
신암행어사,"윤인완,양경일"
펫다이어리2.런,"요한,제나"
크리스마스는 쨈과 함께,루시드
취향 소개소,이다몽
사랑의 아쿠아리움,"TGM,린다"
이야기 들어주는 남자,서진
커피도둑,유지별이
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
코끼리를 끌어안는 방법,백희
블랙시저스휴재,유령
암호는 002!,파도
반짝반짝 작은 눈휴재,억수씨
그 해 여름,김현
애구애구,가령
머니게임,배진수
피리부는 남자,"라디야,차용운"
위닝샷!휴재,"강견,시바견"
무주의 맹시,마누비
무의식의 숲,루시드
프린스의 왕자 - 카페 드 쇼콜라 -,"재아,SE"
가타부타타,숭어
차원이 다른 만화,요엔
날 닮은 아이휴재,"플아다,팻녹"
스치면 인연 스며들면 사랑,을승
불지옥 로맨스,정성완
와장창창! 자취맨,타로맨
소나기야,와루
나의 목소리를 들어라,이현민
죄송한데 주인공이세요?,조석
은탄휴재,김규삼
공주는 잠 못 이루고,하가
투신전생기휴재,청담
레지나레나 - 용서받지 못한 그대에게휴재,"곽나나,설동원,김영지"
나는 너를 보았다,"모래인간,티오비"
두근두근두근거려,하일권
도깨비 부른다휴재,웨방상
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
내겐 너무 소란한 결혼,"이지이,포스스튜디오,노승아"
상처공감 다이어리 시즌2,"네온비,캐러멜"
죽은 마법사의 도시,"팀 겟네임,김칸비"
아는사람 이야기,오묘
헤어지면 죽음,"봄소희,KYMA"
팀 피닉스,"엄재경,지야프"
비서 말고 여자,"박다연,별규"
마지막 지수,"에리카,채나라"
헬프탑,황인빈
모어 라이프,이아영
귀신이지만 사랑하고 싶어,"엔엔,오제이"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
요리GO,HO9
어쩌다 보니 제물이 되었습니다!,떡렁
AI가 세상을 지배한다면,"POGO,HOOPA"
놓지마 정신줄 시즌2,"신태훈,나승훈"
데드퀸,김규삼
모자뜨기클럽,김진
죄의 파편,이승찬
안개무덤,김태영
마녀의 심판은 꽃이 된다,"은백,서현"
자취방 신선들,마로
버닝헬,"윤인완,양경일"
오늘도 마음을 다 해,이혜
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
달과 인어,원산지
마녀사냥,박소
네가 없는 세상,"시니,혀노"
금요일 베스트,배진수
키드갱,신영우
방탈출,십박
교환일기,한끼룩
이 편의점 실화냐?,"영파카,아현"
캉타우휴재,"신형욱,양경일"
좋아하는 부분,타리
남편을 만렙으로 키우려 합니다,"유기농,컬린,누오바"
그들이 사귀는 세상,율로
연애일기,Hanna
왕년엔 용사님,"고샤,솔렘"
악취해결사,샘샘
아직도 못 맞춰 보았나! 블쓰헤드샷!,이현민
반려짐승,래형
즐거우리 우리네 인생,현이씨
사장님을 잠금해제,박성현
"스마일 브러시, 오래된 사진.",와루
하르모니아,"YOON,JINU"
3단합체김창남,하일권
부부생활,써니사이드업
개를 낳았다,이선
우렁집사,최경아
붉은 실,동비
메리의 불타는 행복회로,김지수
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
너와 너 사이,오지혜
짝사랑은 동고동락,악파
그녀는 흡!혈귀,정성완
신도림,오세형
운수 좋은 짤,HD3
이게 아닌데,"봄소희,김세이"
별을 부탁해,이동건
네가 죽기를 바랄 때가 있었다,"기매,아란,진서"
아이돌만 하고 싶었는데휴재,"고구렁,와플"
매지컬 급식:암살법사,웡웡이
우리들의 사정,득7이
뉴심:교체인생,지인
보물과 괴물의 도시,이을
바로잡는 순애보,이채영
종말권유,김강8
오직 나의 주인님,상수
굿바이 유교보이,아실
첫날밤만 세 번째,"나라나라,갓녀"
묘령의 황자,아흐레달
가우스 임파서블,곽백수
삼봉이발소,하일권
태백 : 튜토리얼 맨,"이난,백세"
투엔티스,김명현
칼끝에 입술,"핀쿠,뫄과,윤슬"
호수의 인어,박새
남기한엘리트만들기,미티
일상날개짓,나유진
흑화한 노예남을 길들였다,"LICO,보랏빛마을"
사랑하는 여배우들,"고나리자,수정"
구구까까,혜니
헬로 미스터 테디,아지
키드갱 시즌2,신영우
아침을 지나 밤으로,손지은
중매쟁이 아가 황녀님,"박카린,지미신"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
박제하는 시간,이언
차차차,한나
수업시간그녀,박수봉
더 트웰브,공현곤
낫오버휴재,돌석
아버지의 복수는 끝이 없어라,강태진
스마일브러시,와루
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
곽백수의 신 트라우馬,곽백수
아스란영웅전,박성용
내게 종말은 게임이다휴재,"HOOPA,최우진"
지새는 달,"LELE,별솔"
북적북적 패밀리,"남지은,김인호"
나 없는 단톡방,봉수
나의 최애를 지켜줘,ARI
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
송곳 4~5부,최규석
인섹터,마카빔
두근두근 네가 좋아서,"박래모,서혜은"
기타맨,손규호
메달 브레이커,조용석
식인귀,선택길
그린링 에코콩,김진
철수와 영희 이야기,울
"이러면 안 돼요, 전하!","개굴,우라노스,최아리"
그녀의 버킷리스트,"황양,솦"
완벽하지 않은 키스,강기언
먹지마세요,"노도,비버"
초인의 시대휴재,섭이
6월의 라벤더,"밤희,게살"
화장 지워주는 남자,이연
예명여고,육공
블랙홀과 3만원,"김규삼,혜원"
이중첩자,"하연,옆집찰스,피숙혜"
두 번째 딸로 태어났습니다휴재,"용원창,뉴궁딩팡팡"
자판귀,윤정민
완벽한 파트너,"산차,오하라"
그들에게 사면초가,소이
동네변호사 조들호 시즌1,해츨링
날 가져요,"원펀치래빗,로즈빈"
두 번 사는 음악천재,"정기림,슬아,이한이"
아직도 안 깔아 보았나!? 넵스토어!,이현민
동생친구,님니
탈(TAL),강임
아스라이,예환
엽총소년,"김칸비,홍필"
10년째 차이는 소꿉친구,님니
날 죽일 마법사는 누구,백후추
복수를 위한 결혼동맹휴재,"EMMA,윤희사"
버퍼링,최홍준
관종교장,좌승훈
동토의 여명,김정휘
살아남은 약속,이연
햄버거가 제일 좋아,"용현,민국"
밀가루침공,조석
라스트 서브미션,이행복
하지만 너는 2D잖아,마주
귀비나리,"신희빈,곰시"
미숙한 친구는 G구인,최삡뺩
열대어,실버벨
조의 영역,조석
빛나는 나나나나휴재,마라링
MZ,"최훈,청설모"
당신의 소유주,"송민선,트루"
갸오오와 사랑꾼들,갸오오
왕으로 살다,네스티캣
안식의 밤,연제원
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
우월한 하루,"팀 겟네임,아루아니,김칸비"
세라미안,"미티,구구"
황제와의 하룻밤,"예영,INUS,차승현(車昇炫)"
비흔,"정재한,황영찬"
제목을 찾을 수 없음,작가 정보를 찾을 수 없음
속편한 신입사원,곽백수
너나 나나,김연우
나의 플랏메이트,산삼
인간적인 너무나 인간적인,없는사람
잉잉잉,"황준호,수연"
진짜 정말 맹세코 좋아해,"개차반,잠괴물"
아인슈페너,한끼룩
안전의 참견,김양수
퇴마록,"운,이협,이우혁"
모던패밀리,"외눈박이,시현"
감자마을,박지독
낢마다 상쾌한 일기,"서나래,자까"
당신의 사랑휴재,오아
발칙한 춘향,"이Zen,Jean,금은정"
자멸기관휴재,"김보통,나몬"
도망 여주의 옆집에 살고 있습니다,"벨루하,김산군"
남자주인공의 여자사람친구입니다,"카콘,류희온"
크리퍼스큘,"밀치,얌치"
예쁜 사나이,영원
"OH, MY GOD!","강지영,현예지"
별종,이무기
러브판타지페이퍼,단우
삶이 우리를 속일지라도,김지수
낢이 사는 이야기,서나래
미스터 나이팅게일,"재아,김재한"
점핑오버,"조니조,서사야"
